Username,Artist,Album,Spotify
Bob Clarke,Eminem,The Eminem show,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo?si=iuEcKO7mQCWJQD6uPKbBuw
Bob Clarke,The Doors,The Doors,https://open.spotify.com/album/3zVyMAtWiXugudXuCRiUjL?si=6lyWbdGnQjWNLqIV3l6n2w
Bob Clarke,Haken,Vector,https://open.spotify.com/album/1PhYHO7Pva9e1YQY5GQ8zx?si=NZlranNmRxycPicHVFm1Qg
Lateworm,Magic Sam,West Side Soul,https://open.spotify.com/album/2bonSc9cW7a0YcFBiH9naX?si=hyAWktnWToW9a1eXrcDelA
Lateworm,Freddie King,Getting Ready... (World),https://open.spotify.com/album/2bNjljctm6ynfp9Xzdy7RI?si=wwblbCcPRxypM4iP4FjrCg
Jamie,68,Two Parts Viper,https://open.spotify.com/album/3bk992zoT3XivpIN2AR7GF?si=HQ4hf9i0S4uZAdGv0HYykg
Jamie,Stone Sour,"House of Gold & Bones, Part 1",https://open.spotify.com/album/2nCHgPLLyIgxFKUBYuMKPn?si=9dY8TTPySRasduIdndBp2A
Cody Chance,Vance Joy,Nation of Two,https://open.spotify.com/album/5f6Eu9QtujgGggq5qbbycV?si=vXXp-yuLQxSRviysUXQsug
Jamie Jansen,Zeal & Ardor,Stranger Fruit,https://open.spotify.com/album/5MUJf1UCALl5tfCEhRjkd2?si=vs0JbimUSVy4uFk7Qsh8qQ
Jamie,System of a Down,System of a Down,https://open.spotify.com/album/3sSfjX4fhZonjyZ10x0l0f?si=vslY6T2qQIqrTMR4UmpT1Q
Jamie,PUP,Morbid Stuff,https://open.spotify.com/album/0819j23RlVKRJLnXM8ZQI3?si=ARs1KKVCTVOekVkrAN2vdA
Jamie,Clown Core,Van,https://open.spotify.com/album/7f5AP647DfTSWf0OmZRrPe?si=uKtDMMe4SaqwiMCWJPRE7A
Jamie,Jeff Rosenstock,NO DREAM,https://open.spotify.com/album/0WryIdPBSezBZ7K9G0OHhl?si=m5hMJqr_TUOJJZDIGu3MNQ
Jamie,Ninjaspy,Spuken,https://open.spotify.com/album/5iiSw0ByPZLcQTr2hazs4S?si=3op5ar-6Q42uexpQCVJg8w
Jamie,Future of the Left,Travels with Myself and Another,https://open.spotify.com/album/6YlwVZIJbmnwm2pBXuElt0?si=8U61nYbORUWhH9nmNII5pQ
Jamie,Night Verses,Lift Your Existence,https://open.spotify.com/album/5kujh2ZprmKx1PA9OvgwlV?si=5dmtQT1US1SNnYkfNVXbPg
Jamie,Born of Osiris,The Simulation,https://open.spotify.com/album/1MI4MDPfyFPOFCEF7ykJWW?si=7SxxgY7BScWZAzxBPpuLzw
Jamie,Veil Of Maya,False Idol,https://open.spotify.com/album/3JyJacKuakMUOXiEgxdLEg?si=YE2IjzNAT9qJKKuuE2xwIA
Jamie,SikTh,The Future in Whose Eyes?,https://open.spotify.com/album/3AglitukJSID7M51tDEDdH?si=cgXBjD3vTt-Aphq5nRF7aA
Jamie,Greyhaven,Empty Black,https://open.spotify.com/artist/1zmx3NwOp6vR4qEjmhSiLL?si=ISGnewniR1yUNFbnsqkNVw
Jamie,Dead from Above 1979,Outrage! Is Now,https://open.spotify.com/album/4kKKH6cFBtNd9etSJzkMjZ?si=yEh3du-oQkuYL-maSvtuMg
Jamie,Alexisonfire,Old Crows / Young Cardinals,https://open.spotify.com/album/0nH9oyqLzuKkwFh5izLIGh?si=qy3j4gTcSr2AGaZ5DT6Ilw
Jamie,The Decemberists,The King is Dead,https://open.spotify.com/album/3hd8GiXOy4KUTxVDVUDT5F?si=KzkZNp6fRp2BUIu8ezCC3Q
Jamie,The Dreadnoughts,Polka's Not Dead,https://open.spotify.com/album/6USXCdKuC6VosxTDmi5PvN?si=qyrQLmTxSCWmNy0guHtiuQ
Jamie,Flobots,Fight With Tools,https://open.spotify.com/album/2mSCSmEjNdJUic3fcqse57?si=l6FkOrIhQbCiBy4OhYwdTA
Jamie,Flume,Hi This Is Flume (Mixtape),https://open.spotify.com/album/2Vx9FC6Um8i6kEtY7HNswB?si=-FCIPEKkQYetNDPbuRTRsg
Jamie,Refused,The Shape of Punk To Come,https://open.spotify.com/album/2Us9qPHLvLoTl6HkYAPcz2?si=cXdY2iXsSySRPJmOlwEgEg
IWearTheShpants,Lord Huron,Strange Trails,https://open.spotify.com/album/3yoNZlqerJnsnMN5EDwwBS?si=7_v9pWslSICpd7mXHDrArg
Lateworm,Beck,Modern Guilt,https://open.spotify.com/album/7iHm2lTks5aIvb3z2CCpfo?si=1S2nCjukSG2n3fski-BSNw
OneGuy83,Hootie and the blowfish,Cracked Rear View,https://open.spotify.com/album/5AYmpTfdv1OoASUJ5rZB7K
Lateworm,Michael Nyman,Musique à Grande Vitesse,https://open.spotify.com/album/2qpUTpadrGai80AMFLyqSq?si=rPYX4Ff0R--H0tv3baO5vQ
Lateworm,Herbie Hancock,Head Hunters,https://open.spotify.com/album/5fmIolILp5NAtNYiRPjhzA?si=AyDSquLiQaCZRDa0QnAEFQ
Oneguy83,Dr. Dre,2001,https://open.spotify.com/album/7q2B4M5EiBkqrlsNW8lB7N
Bropunzel,Queensrÿche,operation mind crime,https://open.spotify.com/album/4eEQ3aNA8mptFIfbFdX79p?si=qY9kwkNDSAG8H-vf6dWVpQ
Bropunzel,Beach Boys,Pet Sounds,https://open.spotify.com/album/6GphKx2QAPRoVGWE9D7ou8?si=vGmU1jHKRqm32wvaMVNIYQ
Lateworm,"Medeski, Martin & Wood",End of The World Pary (Just in Case),https://open.spotify.com/album/1hCxbfoen4fGGbbrE3pfZX?si=GrfTsUvfTvq_ghrHnLhUhg
Lateworm,Tom Petty & The Heartbreakers,Damn The Torpedoes,https://open.spotify.com/album/0qKA3aqubD47jfFVoPfsiy?si=ZSYqt30yTs-4-iadWhmCuA
Bob Clarke,Storm Corrosion,Self titled,https://open.spotify.com/album/2hfMN1T3sh5q3j84lw7ZcU?si=2xUpu0U8QMuIXSPmxodrMw
