Artist,Album
Eminem,The Eminem show
The Doors,The Doors
Haken,Vector
Magic Sam,West Side Soul
Freddie King,Getting Ready... (World)
68,Two Parts Viper
Stone Sour,"House of Gold & Bones, Part 1"
Vance Joy,Nation of Two
Zeal & Ardor,Stranger Fruit
System of a Down,System of a Down
PUP,Morbid Stuff
Clown Core,Van
Jeff Rosenstock,NO DREAM
Ninjaspy,Spuken
Future of the Left,Travels with Myself and Another
Night Verses,Lift Your Existence
Born of Osiris,The Simulation
Veil Of Maya,False Idol
SikTh,The Future in Whose Eyes?
Greyhaven,Empty Black
Dead from Above 1979,Outrage! Is Now
Alexisonfire,Old Crows / Young Cardinals
The Decemberists,The King is Dead
The Dreadnoughts,Polka's Not Dead
Flobots,Fight With Tools
Flume,Hi This Is Flume (Mixtape)
Refused,The Shape of Punk To Come
Lord Huron,Strange Trails
Beck,Modern Guilt
Hootie and the blowfish,Cracked Rear View
Michael Nyman,Musique à Grande Vitesse
Herbie Hancock,Head Hunters
Dr. Dre,2001
Queensrÿche,operation mind crime
Beach Boys,Pet Sounds
Medeski Martin & Wood,End of The World Pary (Just in Case)
Tom Petty & The Heartbreakers,Damn The Torpedoes
Storm Corrosion,Self titled
Enigma,MCMXC a.D.
Noir Désir,Des visages des figures
Iron Maiden,Number of the Beast
Pantera,The great southern treadkill
Nine Inch Nails,Year Zero
Infected Mushroom,The Gathering
Greta Van Fleet,From the fires
Leonard Cohen,The Future
NWA,Straight Outta Compton
Peregrine Falls,Peregrine Falls
Rush,Vapor Trails
The Hu,The Gereg
Jean-Michel Jarre,Oxygene
Greta Van Fleet,From The Fires
Giant Squid,Metridium Fields
Howard Shore,The Lord of the Rings Symphony
Apocalyptica,Cell-0
Powerwolf,Best of the Blessed
JoeJas,Four Wing island
Green Day,American Idiot
Sabaton,The Last Stand
Orden Ogan,RavenHead
AmonAmarth,Surtur Rising
Tool,Fear Inocculum
Puscifer,Existential Reckoning
Black Sabbath,Paranoid
Ry Cooder and Manuel Galbán,Mambo Sinuendo
Black Crowes,Lions
Nine inch nails,The slip
Therion,Deggial
PowerWolf,The Sacrament of Sin
Testament,Brotherhood of the snake
Pearl Jam,Ten
Metallica,the black album
HammerFall,Renegade
mazzy star,so tonight that i might see
rush,permanent waves
Arjen Anthony Lucassen's Star One,Space Metal
Powerwolf,Mettalum Nostrum
Tyr,Valkyrja
KMFDM,Symbols
NiN,PHM
The Ocean,Pelagial
Dmitri Shostikovich,Dmitri Shostakovich's 7th Symphony
The Doors,The Doors
Pink Floyd,The Division Bell
Down,Nola
Dream Theater,Systematic chaos
Govinda,Amethyst Noise
Lord of the Lost,Empyrean (Deluxe Edition)
The Tragically Hip,Phantom Powe
Melanie martinez,k - 12
Gothminister,Utopia
Various artists,Kill Bill Vol 1 OST
Opeth,Still life
Steely Dan,Countdown To Ecstasy
Noora Louhimo Experience,Eternal Wheel of Time and Space
The Avalanches,Since I Left You
Sonata Arctica,Takatalvi
Polyphia,Renaissance
Dire Straits,Dire Straits
Robert Cray,Strong Persuader
The Tea Party,Transmission
Bone Crew,Manifest
Stone Temple Pilots,Core
Daft Punk,Discovery
Serj Tankian,Elect The Dead
Viza,Made in Chernobyl
Billy Talent,Billy Talent II
Sonata Arctica,Unia
Plini,Handmade Cities
Leprous,Malina
Eiffel 65,Europop
The Rolling Stallones,Vol. 4: Like Life Depends on it
Rolling Stones,Let It Bleed
Devin Townsend,Empath
BloodBound,Nosferatu
Five FInger Death Punch/FFDP,"F8 (pronounced ""Fate"")"
Arch Enemy,will to power
Red Hot Chili Peppers,Californication
Disturbed,Immortalized
Deftones,Around the Fur
Ghost,Prequelle
Enthogenic,Kykeon
Art Napolen,Creeland Covers
Robbie Robertson,Robbie Robertson
Art Napoleon,Miyoskamin
Orden Ogan,Gun men
Rob Zombie,Hellbilly deluxe
Halsey,If I cant have love I'll take power?
Pomme,À peu près
Turisas,Stand Up and Fight
The Mars Volta,Deloused in the Comatorium
öOoOoOoOoOo,Samen
Troldhaugen,Idio+syncrasies
Marilyn Manson,Holy Wood
Brendan Dalton & The 1740 Boys Choir,Christmas in Middle-Earth
The Tragically Hip,Fully Completely
Horizon Ignited,After the Storm
Tyr,Hel
Mushroomhead,XX
Booker T & The MGs,Green Onions
Booker T & The MGs,Melting Pot
Soilwork,verkligheten
Bobby Darin,That’s all
Nina Simone,Pastel Blues
Frank Sinatra,Strangers in the night
Jorn Lande and Trond Holter,Dracula - Swing of Death
Marianne Faithfull,Rich Kid Blues
Marianne Faithfull,Broken English
Elvis Costello,My Aim is True
The Dead 60s,The Dead 60s
Eddie Vedder,Into The Wild
Van Morrison,Moondance
CSS,Cansei de ser Sexy
Gossip,Standing in the Way of Control
Glenn gould,Goldberg Variations
Art Bergmann,Sexual Roulette
Paul Simon,Graceland
Nick Drake,Bryter Layter
Brian Eno,Another Green World
Uriah Heep,Demons & Wizards
Arne Domnérus,Jazz at the Pawnshop
Max Richter,Four Seasons Recomposed
(Arjen Anthony Lucassen's) Star One,Revel In Time
Immortal Guardian,Psychosomatic
Soviet Soviet,Fate
Amon Amarth,Twilight of the thunder god
Il Maniscalco Maldestro,il maniscalco maldestro
Yma Sumac,Voice of the Xtabay
Wishbone Ash,Argus
Faith No More,The Real Thing
